asv,n,prop,ncomp,eta
asv.41919,2,0.08,7,0.6107768013327781
asv.41942,6,0.24,7,0.6107768013327781
asv.41950,1,0.04,7,0.6107768013327781
asv.41961,5,0.2,7,0.6107768013327781
asv.42073,4,0.16,7,0.6107768013327781
asv.42096,4,0.16,7,0.6107768013327781
asv.42212,6,0.24,7,0.6107768013327781
asv.42214,2,0.08,7,0.6107768013327781
asv.4226,3,0.12,7,0.6107768013327781
asv.42321,2,0.08,7,0.6107768013327781
asv.42349,25,1,7,0.6107768013327781
asv.42380,3,0.12,7,0.6107768013327781
asv.42403,19,0.76,7,0.6107768013327781
asv.42490,1,0.04,7,0.6107768013327781
asv.42496,1,0.04,7,0.6107768013327781
asv.42512,22,0.88,7,0.6107768013327781
asv.42571,3,0.12,7,0.6107768013327781
asv.42599,2,0.08,7,0.6107768013327781
asv.42639,1,0.04,7,0.6107768013327781
asv.42686,23,0.92,7,0.6107768013327781
asv.42816,3,0.12,7,0.6107768013327781
asv.42859,2,0.08,7,0.6107768013327781
asv.4293,3,0.12,7,0.6107768013327781
asv.42998,6,0.24,7,0.6107768013327781
asv.43036,1,0.04,7,0.6107768013327781
asv.43054,2,0.08,7,0.6107768013327781
asv.43127,2,0.08,7,0.6107768013327781
asv.43177,6,0.24,7,0.6107768013327781
asv.43192,5,0.2,7,0.6107768013327781
asv.43285,3,0.12,7,0.6107768013327781
asv.43332,8,0.32,7,0.6107768013327781
asv.43344,7,0.28,7,0.6107768013327781
asv.43628,3,0.12,7,0.6107768013327781
asv.4363,2,0.08,7,0.6107768013327781
asv.43681,4,0.16,7,0.6107768013327781
asv.43759,12,0.48,7,0.6107768013327781
asv.43926,5,0.2,7,0.6107768013327781
asv.43941,1,0.04,7,0.6107768013327781
asv.43950,4,0.16,7,0.6107768013327781
asv.43968,11,0.44,7,0.6107768013327781
asv.44164,7,0.28,7,0.6107768013327781
asv.44191,1,0.04,7,0.6107768013327781
asv.44355,1,0.04,7,0.6107768013327781
asv.44402,3,0.12,7,0.6107768013327781
asv.44497,4,0.16,7,0.6107768013327781
asv.4461,7,0.28,7,0.6107768013327781
asv.44632,3,0.12,7,0.6107768013327781
asv.44750,22,0.88,7,0.6107768013327781
asv.44781,2,0.08,7,0.6107768013327781
asv.44866,1,0.04,7,0.6107768013327781
asv.44902,5,0.2,7,0.6107768013327781
asv.4492,24,0.96,7,0.6107768013327781
asv.45101,1,0.04,7,0.6107768013327781
asv.45145,2,0.08,7,0.6107768013327781
asv.4531,1,0.04,7,0.6107768013327781
asv.45325,1,0.04,7,0.6107768013327781
asv.45372,2,0.08,7,0.6107768013327781
asv.45413,6,0.24,7,0.6107768013327781
asv.45415,1,0.04,7,0.6107768013327781
asv.45799,2,0.08,7,0.6107768013327781
asv.4586,3,0.12,7,0.6107768013327781
asv.45884,2,0.08,7,0.6107768013327781
asv.45955,13,0.52,7,0.6107768013327781
asv.45999,1,0.04,7,0.6107768013327781
asv.46011,5,0.2,7,0.6107768013327781
asv.46102,1,0.04,7,0.6107768013327781
asv.46138,4,0.16,7,0.6107768013327781
asv.46211,1,0.04,7,0.6107768013327781
asv.46336,15,0.6,7,0.6107768013327781
asv.46368,1,0.04,7,0.6107768013327781
asv.46377,8,0.32,7,0.6107768013327781
asv.46437,1,0.04,7,0.6107768013327781
asv.46463,2,0.08,7,0.6107768013327781
asv.46501,1,0.04,7,0.6107768013327781
asv.46639,6,0.24,7,0.6107768013327781
asv.46662,10,0.4,7,0.6107768013327781
asv.46698,14,0.56,7,0.6107768013327781
asv.46750,3,0.12,7,0.6107768013327781
asv.46754,14,0.56,7,0.6107768013327781
asv.46770,2,0.08,7,0.6107768013327781
asv.4693,1,0.04,7,0.6107768013327781
asv.46966,5,0.2,7,0.6107768013327781
asv.46977,4,0.16,7,0.6107768013327781
asv.47163,2,0.08,7,0.6107768013327781
asv.47201,1,0.04,7,0.6107768013327781
asv.47355,2,0.08,7,0.6107768013327781
asv.47382,1,0.04,7,0.6107768013327781
asv.47505,1,0.04,7,0.6107768013327781
asv.47517,9,0.36,7,0.6107768013327781
asv.47655,2,0.08,7,0.6107768013327781
asv.4782,6,0.24,7,0.6107768013327781
asv.47940,3,0.12,7,0.6107768013327781
asv.48042,1,0.04,7,0.6107768013327781
asv.48442,1,0.04,7,0.6107768013327781
asv.48452,11,0.44,7,0.6107768013327781
asv.48463,5,0.2,7,0.6107768013327781
asv.48470,1,0.04,7,0.6107768013327781
asv.48556,11,0.44,7,0.6107768013327781
asv.48691,3,0.12,7,0.6107768013327781
asv.48749,1,0.04,7,0.6107768013327781
asv.48756,1,0.04,7,0.6107768013327781
asv.48782,1,0.04,7,0.6107768013327781
asv.48794,1,0.04,7,0.6107768013327781
asv.48822,1,0.04,7,0.6107768013327781
asv.48849,4,0.16,7,0.6107768013327781
asv.48871,2,0.08,7,0.6107768013327781
asv.49093,10,0.4,7,0.6107768013327781
asv.49248,12,0.48,7,0.6107768013327781
asv.49288,1,0.04,7,0.6107768013327781
asv.49356,1,0.04,7,0.6107768013327781
asv.49362,6,0.24,7,0.6107768013327781
asv.49388,3,0.12,7,0.6107768013327781
asv.49505,1,0.04,7,0.6107768013327781
asv.49654,11,0.44,7,0.6107768013327781
asv.49748,7,0.28,7,0.6107768013327781
asv.49816,2,0.08,7,0.6107768013327781
asv.4983,1,0.04,7,0.6107768013327781
asv.49830,16,0.64,7,0.6107768013327781
asv.49878,5,0.2,7,0.6107768013327781
asv.49919,1,0.04,7,0.6107768013327781
asv.5019,1,0.04,7,0.6107768013327781
asv.50370,1,0.04,7,0.6107768013327781
asv.5062,1,0.04,7,0.6107768013327781
asv.5074,7,0.28,7,0.6107768013327781
asv.5111,1,0.04,7,0.6107768013327781
asv.5149,2,0.08,7,0.6107768013327781
asv.5214,1,0.04,7,0.6107768013327781
asv.5331,1,0.04,7,0.6107768013327781
asv.5395,1,0.04,7,0.6107768013327781
asv.544,2,0.08,7,0.6107768013327781
asv.5453,4,0.16,7,0.6107768013327781
asv.5497,1,0.04,7,0.6107768013327781
asv.551,1,0.04,7,0.6107768013327781
asv.5801,4,0.16,7,0.6107768013327781
asv.6007,2,0.08,7,0.6107768013327781
asv.6203,2,0.08,7,0.6107768013327781
asv.6204,1,0.04,7,0.6107768013327781
asv.6348,4,0.16,7,0.6107768013327781
asv.6375,1,0.04,7,0.6107768013327781
asv.6394,3,0.12,7,0.6107768013327781
asv.6410,1,0.04,7,0.6107768013327781
asv.6557,9,0.36,7,0.6107768013327781
asv.6592,1,0.04,7,0.6107768013327781
asv.6610,3,0.12,7,0.6107768013327781
asv.6649,1,0.04,7,0.6107768013327781
asv.6667,2,0.08,7,0.6107768013327781
asv.6683,1,0.04,7,0.6107768013327781
asv.7013,1,0.04,7,0.6107768013327781
asv.710,1,0.04,7,0.6107768013327781
asv.7179,2,0.08,7,0.6107768013327781
asv.7225,1,0.04,7,0.6107768013327781
asv.7259,3,0.12,7,0.6107768013327781
asv.7332,1,0.04,7,0.6107768013327781
asv.734,1,0.04,7,0.6107768013327781
asv.741,1,0.04,7,0.6107768013327781
asv.7410,3,0.12,7,0.6107768013327781
asv.7479,16,0.64,7,0.6107768013327781
asv.7542,2,0.08,7,0.6107768013327781
asv.7609,25,1,7,0.6107768013327781
asv.7664,5,0.2,7,0.6107768013327781
