d,p,c,o,f,g,weight
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Puniceispirillales, f__SAR116_clade, g__Candidatus_Puniceispirillum,0.09725781779244658
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__MWH-UniP1_aquatic_group, g__MWH-UniP1_aquatic_group,0.16796705139910137
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ia,0.08720559729898426
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ib,0.10255130257352692
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.09180417709477245
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Cellvibrionales, f__Halieaceae, g__OM60(NOR5)_clade,0.15803705814176364
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Puniceispirillales, f__SAR116_clade, g__SAR116_clade,0.09771308438274613
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__S25-593, g__S25-593,0.0881985631306075
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__AEGEAN-169_marine_group, g__AEGEAN-169_marine_group,0.11491986547388847
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ia,0.09140197457341942
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.09271387627152118
d__Bacteria, p__Planctomycetota, c__Phycisphaerae, o__Phycisphaerales, f__Phycisphaeraceae, g__CL500-3,0.062372594412509745
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Synechococcales, f__Cyanobiaceae, g__Synechococcus_CC9902,0.13260995420611382
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__AEGEAN-169_marine_group, g__AEGEAN-169_marine_group,0.08920495876069566
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__Mitochondria, g__Mitochondria,0.10940462368690701
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Defluviicoccales, f__uncultured, g__uncultured,0.0864212872184765
