d,p,c,o,f,g,weight,coef_estimates
d__Eukaryota, p__MAST-3, c__MAST-3I, o__MAST-3I, f__MAST-3I, g__MAST-3I,0.03154660291095986,0.7934120186302053
d__Eukaryota, p__Dinoflagellata, c__Dinophyceae, o__Gymnodiniphycidae,NA,NA,0.0334989158784991,54.97157156288177
d__Eukaryota, p__Dinoflagellata, c__Dinophyceae,NA,NA,NA,0.035038149219161444,16.638420532563952
d__Eukaryota, p__Arthropoda, c__Maxillopoda, o__Cyclopoida, f__Cyclopoida, g__Cyclopoida,0.008658984128348628,5.724187224493502
d__Eukaryota, p__Ciliophora, c__Intramacronucleata, o__Spirotrichea, f__Oligotrichia,NA,0.073580254347744,-15.351829754437373
d__Eukaryota, p__Ochrophyta, c__Pelagophyceae, o__Pelagomonadales, f__Pelagomonadales, g__Pelagomonadales,0.4551707671505627,189.01058655085455
d__Eukaryota, p__Ciliophora, c__Intramacronucleata, o__Spirotrichea, f__Choreotrichia, g__Amphorellopsis,0.007297783500884316,6.330783822232107
d__Eukaryota, p__Protalveolata, c__Syndiniales, o__Syndiniales, f__Syndiniales_Group_II, g__Syndiniales_Group_II,0.010478062829881802,7.025313091075143
d__Eukaryota, p__Prymnesiophyceae, c__Prymnesiophyceae, o__Prymnesiales, f__Prymnesiales, g__Chrysochromulina,0.012085024668703204,0.7331597875184079
d__Eukaryota, p__Dinoflagellata, c__Dinophyceae, o__Gymnodiniphycidae, f__Gymnodinium_clade, g__Erythropsidinium,0.005431521335713617,-12.598150174323425
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ia,0.3873454954484246,161.38926196221743
d__Eukaryota, p__MAST-1, c__MAST-1C, o__MAST-1C, f__MAST-1C, g__MAST-1C,0.012748337675557369,-17.101773172805707
d__Eukaryota, p__Ciliophora, c__Intramacronucleata, o__Conthreep, f__Oligohymenophorea, g__uncultured,0.005354206796912344,-3.236903523125018
d__Eukaryota, p__Prymnesiophyceae, c__Prymnesiophyceae, o__Prymnesiophyceae, f__Prymnesiophyceae, g__Phaeocystis,0.026387000923942056,14.084687462061211
d__Eukaryota,NA,NA,NA,NA,NA,0.010374156403750062,0.13126659060622026
d__Eukaryota, p__Dinoflagellata, c__Incertae_Sedis, o__Incertae_Sedis, f__Incertae_Sedis, g__Haplozoon,0.05505489876195418,5.740874984079939
d__Eukaryota, p__MAST-1, c__MAST-1A, o__MAST-1A, f__MAST-1A, g__MAST-1A,0.00510179490470262,6.935169409185649
d__Eukaryota, p__Dinoflagellata, c__Dinoflagellata, o__Dinoflagellata, f__Dinoflagellata, g__Dinoflagellata,0.010390785399510957,-2.6174893739488927
d__Eukaryota, p__Incertae_Sedis, c__Incertae_Sedis, o__Incertae_Sedis, f__Incertae_Sedis, g__Palpitomonas,0.002997414562352572,-2.0625949966809727
d__Eukaryota, p__Dinoflagellata, c__Dinophyceae, o__Prorocentrales, f__Prorocentrales, g__Prorocentrum,0.00558948551920056,8.641867618374278
d__Eukaryota, p__MAST-4, c__MAST-4, o__MAST-4, f__MAST-4, g__MAST-4,0.1222814273229946,-78.17807875949421
d__Eukaryota, p__Ochrophyta, c__Ochrophyta, o__Ochrophyta, f__Ochrophyta, g__Bolidomonas,0.006029299860881635,-0.1588676723430532
d__Eukaryota, p__Protalveolata, c__Syndiniales, o__Syndiniales, f__Syndiniales_Group_II, g__Syndiniales_Group_II,0.006589848681310409,-10.160726118244337
d__Eukaryota,NA,NA,NA,NA,NA,0.05327109172863057,41.451984415190296
d__Eukaryota, p__Dinoflagellata, c__Dinophyceae, o__Gymnodiniphycidae,NA,NA,0.009260186454360556,10.925169622396925
d__Eukaryota, p__Ciliophora, c__Intramacronucleata, o__Spirotrichea, f__Oligotrichia, g__Strombidium,0.013833346835072681,4.863211376171378
d__Eukaryota, p__Prymnesiophyceae,NA,NA,NA,NA,0.010337655272123132,6.829217728665622
d__Eukaryota,NA,NA,NA,NA,NA,0.028840954806287122,-43.55969312221512
d__Eukaryota, p__MAST-1, c__MAST-1C, o__MAST-1C, f__MAST-1C, g__MAST-1C,0.020429373247254606,-9.858747364476258
d__Eukaryota, p__Centrohelida, c__Centrohelida, o__Centrohelida, f__Centrohelida, g__Centrohelida,0.01197103584330011,4.123689971019875
d__Eukaryota, p__Incertae_Sedis, c__Incertae_Sedis, o__Incertae_Sedis, f__Incertae_Sedis, g__Telonema,0.0036265781148582827,-5.80407512084918
d__Eukaryota, p__Protalveolata, c__Syndiniales, o__Syndiniales, f__Syndiniales_Group_I, g__Syndiniales_Group_I,0.06849741831863593,-99.79766341055554
d__Eukaryota, p__Dinoflagellata, c__Dinophyceae, o__Gymnodiniphycidae, f__Gymnodinium_clade, g__Gymnodinium,0.006394743937804148,-5.243199750416268
d__Eukaryota, p__Dinoflagellata, c__Dinophyceae, o__Gymnodiniphycidae, f__uncultured, g__uncultured,0.02541832390320413,6.749638894390484
d__Eukaryota, p__Cryptophyceae, c__Cryptophyceae, o__Cryptomonadales, f__Cryptomonadales, g__Teleaulax,0.030121046076468306,24.10023403238779
d__Bacteria, p__Proteobacteria,NA,NA,NA,NA,0.006266120545903312,-2.5483695986653863
d__Bacteria,NA,NA,NA,NA,NA,0.022468870147343025,-4.23990248609927
d__Eukaryota, p__Protalveolata, c__Syndiniales, o__Syndiniales,NA,NA,0.01646746163206542,-17.231671666641812
d__Eukaryota, p__Tunicata, c__Appendicularia, o__Copelata, f__Oikopleuridae, g__Oikopleuridae,0.021642659233240946,-2.198418404287
d__Eukaryota, p__Ochrophyta, c__Chrysophyceae, o__uncultured, f__uncultured, g__uncultured,0.002946339028662946,-4.838443876591668
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_IV, g__Clade_IV,0.0537046649792135,-94.74551734612245
d__Eukaryota, p__Protalveolata, c__Syndiniales, o__Syndiniales, f__Syndiniales_Group_I, g__Syndiniales_Group_I,0.02320721592457828,-28.196956315875656
d__Eukaryota,NA,NA,NA,NA,NA,0.006495440091075593,-7.899066462991516
d__Archaea, p__Thermoplasmatota, c__Thermoplasmata, o__Marine_Group_II, f__Marine_Group_II, g__Marine_Group_II,0.1257218791672322,27.966761527344165
d__Eukaryota, p__Protalveolata, c__Syndiniales, o__Syndiniales, f__Syndiniales_Group_III, g__Syndiniales_Group_III,0.005410792470797796,-10.72481178690197
d__Eukaryota,NA,NA,NA,NA,NA,0.018634321649657178,-24.206210811926233
d__Eukaryota, p__Chlorophyta, c__Mamiellophyceae, o__Mamiellales, f__Mamiellales, g__Ostreococcus,0.01305638832926777,-17.59751687228247
d__Eukaryota, p__Prymnesiophyceae, c__Prymnesiophyceae, o__Isochrysidales, f__Isochrysidales, g__Emiliania,0.010173441219319963,-4.363164186243834
d__Eukaryota, p__Ciliophora, c__Intramacronucleata, o__Spirotrichea, f__Oligotrichia, g__uncultured,0.00888078995874863,1.1460144161271901
d__Eukaryota, p__Holozoa, c__Choanoflagellida, o__Acanthoecida, f__Acanthoecidae, g__Pleurasiga,0.004155613612116705,-3.596454323854558
d__Eukaryota, p__Cnidaria, c__Hydrozoa, o__Siphonophorae, f__Siphonophorae, g__Siphonophorae,0.06557746605676766,3.300809520001966
d__Eukaryota, p__Protalveolata, c__Syndiniales, o__Syndiniales, f__Syndiniales_Group_I, g__Syndiniales_Group_I,0.028969666334352277,-17.314769250316377
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Puniceispirillales, f__SAR116_clade, g__SAR116_clade,0.010391112878331289,16.089186377074597
d__Eukaryota, p__Arthropoda, c__Maxillopoda, o__Cyclopoida, f__Cyclopoida, g__Cyclopoida,0.8802288208926319,7.566311029927533
d__Eukaryota,NA,NA,NA,NA,NA,0.004228011037278412,3.2582219332806686
d__Eukaryota, p__Protalveolata, c__Syndiniales, o__Syndiniales, f__Syndiniales, g__Duboscquella,0.008613322163576255,-7.97086882318368
d__Eukaryota, p__Dinoflagellata, c__Dinophyceae, o__Gymnodiniphycidae, f__Suessiaceae, g__Biecheleria,0.0026858545618591192,12.966211783555437
d__Eukaryota, p__Kathablepharidae, c__Kathablepharidae, o__Kathablepharidae, f__Kathablepharidae, g__Leucocryptos,0.07479842401746489,69.5297679884086
d__Eukaryota, p__Dinoflagellata, c__Dinophyceae,NA,NA,NA,0.006412058440738054,-9.665887457080556
